STATE,YEAR,POPULATION,URBAN,RURAL,Population Males,Population Females,Total Literacy,Male Literacy,Female Literacy,Literacy Rate,Male Literacy,Female Literacy,"Area
 (In sq. km)",TOTAL CRIMES,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES
Jammu and Kashmir,2001,10143700,2516638,7627062,5360926,4782774,5524259,3524809,2000156,54.46%,65.75%,41.82%,222236,39010,2150,2948,66,338,0,338,1212,1008,204,48,0,322,2690,3838,1266,2572,2144,180,782,30,874,636,26,1244,576,100,0,714,18092
HIMACHAL PRADESH,2001,6077900,595581,5482319,3087940,2989960,4687884,2656246,2035565,77.13%,86.02%,68.08%,55673,22998,238,150,22,248,0,248,252,210,42,8,0,56,1688,1200,284,916,1256,138,292,4,268,2806,20,620,28,634,0,966,12104
PUNJAB,2001,24358999,8262511,16096488,12985045,11373954,17039120,9820590,7228148,69.95%,75.63%,63.55%,50362,55548,1476,1578,160,596,0,596,1026,648,378,90,168,262,3804,6046,2408,3638,2,736,5242,116,126,7992,318,744,94,2256,0,4308,18408
CHANDIGARH,2001,900635,808515,92120,506938,393697,736359,434192,301769,81.76%,85.65%,76.65%,114,6794,30,20,12,36,0,36,112,100,12,10,0,44,728,3058,988,2070,182,52,310,4,10,190,6,48,30,72,0,12,1828
UTTARAKHAND,2001,1353644,387913,965731,686876,666768,978414,577045,401794,72.28%,84.01%,60.26%,10291,16146,632,558,76,148,0,148,366,252,114,64,6,382,1066,2838,748,2090,880,342,636,8,60,1660,112,206,168,602,0,882,4454
Hariyana,2001,21144564,6115304,15029260,11363953,9780611,14503056,9005933,5507462,68.59%,79.25%,56.31%,44212,77518,1562,934,156,796,0,796,898,594,304,154,282,794,6218,12234,6044,6190,1500,1112,2032,74,406,9488,570,956,802,3026,0,1712,31812
Delhi,2001,13850507,12905780,944727,7607234,6243273,11332485,6646440,4682455,81.82%,87.37%,75.00%,1483,108768,1094,1020,126,762,0,762,3254,1928,1326,96,148,1248,6058,38552,15788,22764,330,958,4366,84,100,4022,226,1004,180,276,0,864,44000
RAJASTHAN,2001,56507188,13214375,43292813,29420011,27087177,34486337,22494540,12010454,61.03%,76.46%,44.34%,342239,310370,2518,3846,126,2098,0,2098,5436,4330,1106,120,80,1778,14568,33878,8648,25230,22428,2052,13288,178,2184,54970,752,5756,112,11064,2,8442,124694
UTTAR PRADESH,2001,166197921,34539582,131658339,87565369,78632552,95331127,61497159,33796271,57.36%,70.23%,42.98%,240928,356258,15202,15928,2372,3916,0,3916,8660,5758,2902,1810,76,7650,16822,54022,12378,41644,14686,6860,10726,294,1624,35632,4422,5740,5150,14730,0,14258,115678
BIHAR,2001,82998509,8681800,74316709,43243795,39754714,39449191,29976599,13345657,47.53%,69.32%,33.57%,94163,176864,7286,6838,500,1776,0,1776,4318,1036,3282,2582,294,4406,6466,19402,2100,17302,17212,1892,3318,170,1004,15088,1718,1124,42,3116,166,4812,73334
SIKKIM,2001,540851,59870,480981,288484,252367,376865,221354,155105,69.68%,76.73%,61.46%,7096,888,38,22,14,16,0,16,12,4,8,0,0,6,152,148,12,136,6,2,26,0,2,70,0,0,28,0,0,14,332
ARUNACHAL PRADESH,2001,1097968,227881,870087,579941,518027,601028,371568,229175,54.74%,64.07%,44.24%,83743,4684,166,106,6,66,0,66,166,110,56,44,4,168,496,886,72,814,48,82,60,8,26,932,0,156,6,22,0,0,1236
NAGALAND,2001,1990036,342787,1647249,1047141,942895,1335513,751533,583841,67.11%,71.77%,61.92%,16579,2468,202,78,18,34,0,34,46,12,34,22,0,258,326,516,178,338,4,40,68,4,2,74,0,12,0,0,0,38,726
MANIPUR,2001,2293896,575968,1717928,1161952,1131944,1579806,904812,675771,68.87%,77.87%,59.70%,22327,4978,418,336,10,40,0,40,188,124,64,40,34,38,150,434,142,292,262,66,132,40,128,402,0,42,0,10,0,14,2194
MIZORAM,2001,888573,441006,447567,459109,429464,786298,416366,369897,88.49%,90.69%,86.13%,21081,4492,62,30,10,104,0,104,4,2,2,6,0,46,834,1756,34,1722,6,46,142,24,48,188,0,104,0,32,6,46,998
TRIPURA,2001,3199203,545750,2653453,1642225,1556978,2356533,1337921,1018419,73.66%,81.47%,65.41%,10486,5602,480,50,0,204,0,204,186,70,116,52,0,126,396,518,12,506,276,8,34,12,62,824,32,116,0,454,0,62,1710
MEGHALAYA,2001,2318822,454111,1864711,1176087,1142735,1468046,777864,690326,63.31%,66.14%,60.41%,22429,3374,328,94,4,52,0,52,110,22,88,194,6,250,340,542,32,510,16,38,58,6,52,204,0,50,0,8,0,0,1022
ASSAM,2001,26655528,3439240,23216288,13777037,12878491,17134173,9909823,7215819,64.28%,71.93%,56.03%,78438,73754,2712,962,80,1634,0,1634,2960,2140,820,1064,28,1374,4846,10734,700,10034,5906,748,1150,92,882,11610,118,1700,8,2496,0,4020,18630
WEST BENGAL,2001,80176197,22427251,57748946,41465985,38710212,55497964,32169311,23311290,69.22%,77.58%,60.22%,88752,123126,3188,898,1162,1418,0,1418,1750,1390,360,548,842,1320,852,28490,5124,23366,6190,972,2432,204,204,7316,530,1908,96,7718,6,4562,50520
JHARKHAND,2001,26945829,5993741,20952088,13885037,13060792,14585777,9433494,5143340,54.13%,67.94%,39.38%,79714,50894,3014,1732,286,1134,0,1134,882,558,324,1272,96,1294,2532,7654,1508,6146,4036,566,1108,46,330,4508,434,594,10,968,4,840,17554
ODISHA,2001,36804660,5517238,31287422,18660570,18144090,23411444,14172703,9248043,63.61%,75.95%,50.97%,155707,93322,1974,2302,106,1580,0,1580,1044,868,176,398,44,1916,6186,11244,1634,9610,2852,570,1362,20,846,8734,588,3310,916,2532,0,3178,41620
CHHATTISGARH,2001,20833803,4185747,16648056,10474218,10359585,13579473,8155226,5428423,65.18%,77.86%,52.40%,135191,76920,1760,1058,90,1918,0,1918,414,342,72,174,38,676,8288,9624,1840,7784,1742,308,804,16,430,10954,140,3526,322,1680,0,1378,31580
MADHYA PRADESH,2001,60348023,15967145,44380878,31443652,28904371,38689118,24148725,14533118,64.11%,76.80%,50.28%,308245,363482,4850,5740,250,5702,0,5702,1912,1336,576,332,260,3528,27098,40526,9070,31456,6790,962,2826,38,2028,61790,1218,14126,1502,5124,0,6594,170286
GUJARAT,2001,50671017,18930250,31740767,26385577,24285440,35454511,21240389,14231268,69.97%,80.50%,58.60%,196024,206838,2452,1074,188,572,0,572,1996,1714,282,654,38,1982,10284,31668,11008,20660,3860,3496,3558,110,898,27520,134,1512,222,7334,0,5848,101438
Daman and Diu,2001,158204,57348,100856,92512,65692,128288,81781,46227,81.09%,88.40%,70.37%,112,478,14,10,0,0,0,0,10,6,4,0,0,0,86,80,40,40,46,10,18,2,6,42,0,0,0,8,0,0,146
Dadra and Nagar Haveli,2001,220490,50463,170027,121666,98824,132360,89206,42484,60.03%,73.32%,42.99%,491,700,6,4,0,12,0,12,8,4,4,0,0,4,68,90,30,60,8,26,24,2,2,58,0,14,0,8,0,0,366
MAHARASHTRA,2001,96878627,41100980,55777647,50400596,46478031,74858115,43480594,31377319,77.27%,86.27%,67.51%,307713,342466,5678,2908,202,2604,0,2604,1970,1222,748,1058,656,4478,30146,79732,17746,61986,13438,3084,8546,530,2416,60424,616,5646,2240,12180,2,17986,85926
ANDHRA PRADESH,2001,76210007,20808940,55401067,38527413,37682594,46571935,27296672,19282183,61.11%,70.85%,51.17%,275045,260178,5204,3110,272,1742,0,1742,2364,1530,834,428,18,1258,14440,33502,6102,27400,6002,1576,10782,288,1744,69894,840,7088,4542,11582,14,14800,68688
KARNATAKA,2001,52850562,17961529,34889033,26898918,25951644,35431017,20521185,14909219,67.04%,76.29%,57.45%,191791,218196,3252,2950,148,586,0,586,1118,542,576,356,72,1694,12788,25736,8032,17704,13372,988,5356,262,704,46570,440,3330,162,3510,0,200,94602
GOA,2001,1347668,670577,677091,687248,660420,1109400,610826,498683,82.32%,88.88%,75.51%,3702,4682,72,60,10,24,0,24,18,12,6,14,0,50,718,1152,336,816,128,78,124,4,32,348,4,34,14,22,0,382,1394
LAKSHADWEEP,2001,60650,26967,33683,31131,29519,53081,28999,24076,87.52%,93.15%,81.56%,32,72,2,0,0,0,0,0,0,0,0,0,0,0,2,20,0,20,2,2,0,0,4,6,0,0,0,0,0,0,34
